lat,lon,state,county,site_name
34.2993,-83.8134,Georgia,Hall,Gainesville
34.364167,-77.838611,North Carolina,New Hanover,Castle Hayne
34.404281,-118.80998,California,Ventura,Piru - Pacific
34.427775,-119.691218,California,Santa Barbara,Santa Barbara
34.44551,-119.8284,California,Santa Barbara,Goleta
34.44806,-119.2313,California,Ventura,Ojai - East Ojai Ave
34.469441,-93.000178,Arkansas,Garland,HOT SPRINGS
34.510961,-117.32554,California,San Bernardino,Victorville-Park Avenue
34.518515,-91.55896,Arkansas,Arkansas,STUTTGART
34.530717,-86.967536,Alabama,Morgan,"DECATUR, Alabama"
34.583699,-94.226234,Arkansas,Polk,MENA
34.615367,-80.198787,South Carolina,Chesterfield,CHESTERFIELD
34.63298,-98.42879,Oklahoma,Comanche,LAWTON
34.63782,-120.4575,California,Santa Barbara,Lompoc H Street
34.681343,-92.328697,Arkansas,Pulaski,DOYLE SPRINGS ROAD
34.68547,-86.58816,Alabama,Madison,HUNTSVILLE OLD AIRPORT
34.725389,-118.178601,California,Los Angeles,Lancaster - Fairgrounds
34.751848,-82.256701,South Carolina,Greenville,Hillcrest Middle School
34.756189,-92.281296,Arkansas,Pulaski,PARR
34.82056,-89.98778,Mississippi,DeSoto,Hernando
34.843895,-82.414585,South Carolina,Greenville,Greenville ESC
34.885608,-95.78441,Oklahoma,Pittsburg,McALESTER
34.890667,-120.432844,California,Santa Barbara,Santa Maria
34.9127,-80.8745,South Carolina,York,
34.955566,-81.924797,South Carolina,Spartanburg,T.K. Gregg
34.9784,-85.2943,Georgia,Walker,
35.01708,-106.65739,New Mexico,Bernalillo,SOUTH VALLEY
35.02083,-120.56388,California,San Luis Obispo,Mesa2
35.041416,-78.953112,North Carolina,Cumberland,William Owen School
35.04673,-120.58777,California,San Luis Obispo,CDF
35.04944,-118.18893,California,Kern,Mojave-Pat Avenue
35.050918,-85.293019,Tennessee,Hamilton,Siskin
35.063569,-106.647503,New Mexico,Bernalillo,San Jose
35.116878,-87.419725,Tennessee,Lawrence,Loretto
35.1343,-106.5852,New Mexico,Bernalillo,DEL NORTE HIGH SCHOOL
35.1443,-106.60468,New Mexico,Bernalillo,JEFFERSON
35.151194,-90.041559,Tennessee,Shelby,Alabama Ave. Station
35.151699,-89.850249,Tennessee,Shelby,Memphis NCORE site
35.16126,-89.87065,Tennessee,Shelby,Near Road Site at Southwest Tennessee Community College
35.1852,-106.50815,New Mexico,Bernalillo,Foothills
35.19324,-106.613815,New Mexico,Bernalillo,NORTH VALLEY
35.197288,-90.193141,Arkansas,Crittenden,MARION
35.201592,-101.909275,Texas,Potter,Amarillo A&M
35.213171,-80.874084,North Carolina,Mecklenburg,Remount
35.2401,-80.785683,North Carolina,Mecklenburg,Garinger High School
35.259502,-120.64472,California,San Luis Obispo,SLO Roberto
